Mouse Cage ,Mouse Number,Tag,Date of Birth,Sex,Date Started on Diet,Notes,Strain,Diet,Body Weight (g),Glucose (mg/dL),Triglycerides (mg/dL),NEFA (mM),BCAA (mM),Insulin (ng/mL),
25,88,LE,04/23/19,M,08/01/19,,DBA/2J,American,47.7,246,,,,,
25,89,RLE,04/23/19,M,08/01/19,,DBA/2J,American,41.7,169,,,,,
26,90,NT,04/23/19,M,08/01/19,,DBA/2J,American,47.5,188,,,,,
26,91,RE,04/23/19,M,08/01/19,,DBA/2J,American,43.1,123,,,,,
27,92,NT,04/23/19,M,08/01/19,"Very Stressed (TP2,TP4,TP5)",DBA/2J,American,43.2,152,,,,,
27,93,RE,04/23/19,M,08/01/19,  ,DBA/2J,American,44.3,214,,,,,
28,94,NT,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,44.7,293,,,,,
28,95,RE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,39.2,130,,,,,
28,96,LE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,40.6,119,,,,,
28,97,RLE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,46.2,170,,,,,
29,98,NT,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,49.9,150,,,,,
29,99,RE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,43.1,210,,,,,
29,100,LE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,42.9,183,,,,,
29,101,RLE,04/23/19,M,08/01/19,,DBA/2J,Mediterranean,NA,254,,,,,
30,102,NT,04/23/19,M,08/02/19,DEAD on TP4,DBA/2J,Vegetarian,NA,NA,NA,NA,NA,NA,
30,103,RE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,36.8,138,,,,,
30,104,LE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,29.5,127,,,,,
30,105,RLE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,34.5,126,,,,,
31,106,NT,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,40.9,146,,,,,
31,107,RE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,41.8,156,,,,,
31,108,LE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,39.6,171,,,,,
31,109,RLE,04/23/19,M,08/02/19,,DBA/2J,Vegetarian,43.1,167,,,,,
32,110,NT,04/23/19,M,08/02/19,,DBA/2J,Vegan,41.9,143,,,,,
32,111,RE,04/23/19,M,08/02/19,,DBA/2J,Vegan,43.6,180,,,,,
32,112,LE,04/23/19,M,08/02/19,,DBA/2J,Vegan,42.9,166,,,,,
32,113,RLE,04/23/19,M,08/02/19,,DBA/2J,Vegan,38.8,120,,,,,
33,114,NT,04/23/19,M,08/02/19,,DBA/2J,Vegan,37,129,,,,,
33,115,RE,04/23/19,M,08/02/19,,DBA/2J,Vegan,35.4,135,,,,,
33,116,LE,04/23/19,M,08/02/19,,DBA/2J,Vegan,40.3,137,,,,,
33,117,RLE,04/23/19,M,08/02/19,,DBA/2J,Vegan,36.5,115,,,,,
34,118,NT,05/13/19,M,08/23/19,,S/J,American,137,27.5,,,,,
60,119,RE,05/13/19,M,08/23/19,,S/J,American,129,28.4,,,,,
34,120,LE,05/13/19,M,08/23/19,,S/J,American,143,26.8,,,,,
34,121,RLE,05/13/19,M,08/23/19,,S/J,American,148,30,,,,,
35,122,NT,05/13/19,M,08/23/19,,S/J,American,114,30.4,,,,,
57,123,RE,05/13/19,M,08/23/19,,S/J,American,132,27.2,,,,,
36,124,NT,05/13/19,M,08/23/19,,S/J,American,140,29.2,,,,,
37,125,NT,05/13/19,M,08/23/19,,S/J,American,146,32.6,,,,,
42,126,NT,05/13/19,M,08/23/19,,S/J,Mediterranean,117,29.7,,,,,
44,127,RE,05/13/19,M,08/23/19,,S/J,Mediterranean,140,29.7,,,,,
38,128,LE,05/13/19,M,08/23/19,,S/J,Mediterranean,115,28.4,,,,,
43,129,RLE,05/13/19,M,08/23/19,,S/J,Mediterranean,124,28.9,,,,,"Tissues stored in this bag are labeled with #125 on the Foil, but ARE CORRECT TISSUES."
39,130,NT,05/13/19,M,08/23/19,,S/J,Mediterranean,145,30.4,,,,,
40,131,NT,05/13/19,M,08/23/19,,S/J,Mediterranean,141,27.6,,,,,
41,132,NT,05/13/19,M,08/23/19,,S/J,Mediterranean,124,31.1,,,,,
45,133,NT,05/20/19,M,09/04/19,,S/J,Vegetarian,167,26.6,,,,,
45,134,RE,05/20/19,M,09/04/19,,S/J,Vegetarian,192,27.3,,,,,
45,135,LE,05/20/19,M,09/04/19,,S/J,Vegetarian,156,28.2,,,,,
55,136,NT,05/20/19,M,09/04/19,,S/J,Vegetarian,159,28,,,,,
56,137,RE,05/20/19,M,09/04/19,,S/J,Vegetarian,150,29.1,,,,,
59,138,LE,05/20/19,M,09/04/19,,S/J,Vegetarian,152,30.2,,,,,
46,139,RLE,05/20/19,M,09/04/19,,S/J,Vegetarian,149,31.2,,,,,
47,140,NT,05/20/19,M,09/04/19,,S/J,Vegetarian,137,24.9,,,,,
48,141,NT,05/20/19,M,09/04/19,,S/J,Vegan,145,27.8,,,,,
48,142,RE,05/20/19,M,09/04/19,,S/J,Vegan,140,30.3,,,,,
48,143,LE,05/20/19,M,09/04/19,,S/J,Vegan,133,25.9,,,,,
49,144,NT,05/20/19,M,09/04/19,,S/J,Vegan,152,29.5,,,,,
50,145,NT,05/20/19,M,09/04/19,,S/J,Vegan,144,28,,,,,
51,146,NT,05/20/19,M,09/04/19,,S/J,Vegan,137,27.5,,,,,
52,147,NT,05/20/19,M,09/04/19,,S/J,Vegan,113,28.4,,,,,
52,148,RE,05/20/19,M,09/04/19,,S/J,Vegan,134,27.5,,,,,
53,149,NT,05/27/19,M,09/09/19,,S/J,Regular Chow,137,30,,,,,
53,150,RE,05/27/19,M,09/09/19,Found Dead TP5,S/J,Regular Chow,NA,NA,NA,NA,NA,NA,
53,151,LE,05/27/19,M,09/09/19,,S/J,Regular Chow,128,26.9,,,,,
54,152,NT,05/27/19,M,09/09/19,,S/J,Regular Chow,135,27,,,,,
54,153,RE,05/27/19,M,09/09/19,,S/J,Regular Chow,136,28.9,,,,,
54,154,LE,05/27/19,M,09/09/19,Euthanized on 10/29 for Severe Prolapse,S/J,Regular Chow,NA,NA,NA,NA,NA,NA,
